cgpa,math,english,science,programming,communication,leadership,creativity,analytical,interest_tech,interest_business,interest_health,interest_law,interest_arts,interest_education,career
4.81,9,5,6,2,5,6,4,8,3,9,2,4,3,2,Accountant
4.45,8,6,9,9,6,5,6,8,7,3,3,4,3,3,Cybersecurity Analyst
4.14,8,8,8,9,7,6,5,8,9,4,2,1,1,4,Software Engineer
3.95,7,6,8,4,6,8,7,8,7,2,3,1,7,3,Mechanical Engineer
3.7,7,6,7,7,6,5,4,7,8,4,1,4,2,3,Cybersecurity Analyst
4.53,7,8,5,1,9,9,6,8,1,6,3,8,5,4,Lawyer
3.78,6,9,4,3,9,7,8,5,6,3,2,4,8,5,Journalist / Media
4.75,7,6,8,10,6,5,6,8,8,4,4,3,2,1,Cybersecurity Analyst
4.27,6,6,5,4,8,8,7,7,4,8,3,6,2,3,Business Manager
3.87,6,6,6,6,7,5,5,8,8,6,2,5,3,3,Cybersecurity Analyst
4.38,8,8,8,8,5,7,7,8,7,3,1,4,3,2,Cybersecurity Analyst
3.61,9,6,6,8,5,5,7,8,8,2,1,2,2,1,Software Engineer
4.36,7,7,6,4,7,4,9,7,5,3,2,2,7,2,Architect
4.66,5,7,6,1,8,9,7,7,3,9,1,6,5,4,Business Manager
4.78,8,6,8,7,6,5,7,8,8,3,4,2,3,2,Data Scientist
3.32,6,7,5,3,8,6,7,5,4,3,4,3,4,8,Teacher / Educator
2.56,4,5,4,4,8,7,9,5,5,3,2,1,8,2,Graphic Designer
4.51,6,7,10,1,6,7,7,8,2,3,9,3,2,5,Medical Doctor
3.45,7,6,9,8,4,6,6,9,9,2,1,3,2,2,Cybersecurity Analyst
3.52,4,9,5,2,8,8,9,8,5,4,2,3,9,4,Journalist / Media
4.94,7,8,8,2,8,7,5,7,2,3,8,3,1,4,Medical Doctor
4.67,9,6,8,3,7,7,7,8,3,3,8,1,2,4,Medical Doctor
3.46,5,9,7,1,8,8,7,8,3,8,4,4,5,4,Business Manager
3.99,8,6,8,6,5,6,7,8,9,3,2,2,6,2,Mechanical Engineer
4.15,9,6,8,9,7,5,5,9,10,4,3,4,3,3,Cybersecurity Analyst
4.05,5,8,3,2,7,9,7,6,2,7,3,8,3,6,Public Administrator
3.75,9,6,7,5,8,6,3,8,6,8,1,4,2,2,Accountant
4.19,7,6,7,7,6,5,4,8,8,3,3,4,2,3,Cybersecurity Analyst
3.82,7,8,8,8,6,4,9,8,8,4,2,2,2,3,Software Engineer
3.36,7,8,5,3,7,5,9,7,6,3,3,1,8,3,Architect
3.58,8,9,9,6,5,5,8,9,8,4,3,2,1,3,Data Scientist
3.42,8,7,8,4,4,7,6,7,8,4,1,2,4,3,Mechanical Engineer
3.89,7,7,7,7,8,5,8,9,7,4,2,1,3,2,Software Engineer
3.43,9,7,5,5,6,7,5,8,4,8,3,4,1,4,Accountant
3.96,10,7,6,3,6,5,3,9,5,8,3,5,2,2,Accountant
4.71,8,6,8,6,5,5,6,8,9,2,1,2,3,3,Mechanical Engineer
4.46,6,6,7,5,7,4,9,6,6,3,2,2,8,1,Graphic Designer
3.71,8,7,8,9,6,6,9,8,8,5,3,2,2,3,Software Engineer
4.88,8,6,8,4,6,5,8,9,7,4,2,1,7,2,Mechanical Engineer
4.98,8,6,5,2,8,9,7,9,4,9,2,4,3,5,Business Manager
3.81,6,5,6,5,6,6,9,7,8,5,2,1,9,3,Architect
3.74,5,8,6,3,9,7,7,5,3,4,2,1,8,9,Teacher / Educator
4.35,7,8,6,3,8,8,7,7,5,9,2,4,5,4,Entrepreneur
4.37,5,9,5,2,9,8,6,8,3,6,2,9,5,4,Lawyer
4.27,9,6,7,9,5,7,7,8,8,4,2,1,2,2,Software Engineer
3.04,6,7,4,4,9,9,7,8,3,9,1,4,3,3,Business Manager
4.85,9,5,9,5,7,6,8,8,7,3,1,1,5,2,Mechanical Engineer
4.32,7,8,6,5,7,9,8,8,4,8,2,3,4,3,Entrepreneur
3.03,7,7,7,5,9,8,7,7,3,4,3,2,7,8,Teacher / Educator
4.32,7,6,8,3,6,4,5,9,2,6,8,2,3,3,Pharmacist
4.51,7,7,9,6,8,5,9,8,8,4,2,2,3,2,Mechanical Engineer
4.21,8,9,5,4,9,6,8,6,2,2,2,1,5,8,Teacher / Educator
4.62,6,8,5,4,8,9,7,8,5,8,2,4,4,2,Entrepreneur
3.05,8,5,9,3,6,6,7,7,7,4,2,2,4,2,Mechanical Engineer
4.63,5,7,6,4,8,8,7,8,4,9,2,3,3,3,Business Manager
3.07,5,8,5,3,8,8,4,8,2,8,4,7,4,7,Public Administrator
4.11,8,7,7,8,6,6,5,9,8,6,3,2,3,2,Software Engineer
4.3,8,6,6,6,9,8,8,7,6,8,1,5,4,4,Entrepreneur
3.76,4,9,3,4,9,7,9,6,3,3,1,3,7,3,Journalist / Media
3.45,5,6,5,5,10,9,9,6,3,9,2,5,5,4,Entrepreneur
3.08,4,9,3,4,8,5,8,6,3,2,2,5,8,5,Journalist / Media
3.56,6,8,6,2,8,9,7,8,2,5,1,8,5,4,Lawyer
4.99,9,8,8,7,5,3,6,8,8,4,3,1,2,4,Data Scientist
3.39,8,8,7,8,6,6,6,8,9,2,2,1,4,1,Software Engineer
3.31,9,7,7,5,6,6,3,9,5,8,2,6,2,3,Accountant
4.18,8,7,8,1,8,5,6,10,2,4,9,3,1,5,Pharmacist
4.54,7,7,8,3,7,6,4,7,4,5,9,2,1,5,Pharmacist
4.06,4,8,4,2,9,8,5,7,2,5,3,8,5,4,Lawyer
4.35,6,8,5,2,9,8,6,9,2,6,3,8,5,5,Lawyer
3.42,6,7,5,2,9,8,7,7,4,9,2,4,4,4,Business Manager
3.73,8,8,9,1,7,4,5,8,3,5,9,1,2,5,Pharmacist
3.71,8,6,7,9,5,6,8,8,7,3,3,2,3,4,Software Engineer
4.16,9,6,6,7,6,6,5,8,7,4,3,5,3,3,Cybersecurity Analyst
4.31,6,8,7,3,8,8,8,9,1,7,2,8,3,4,Lawyer
4.47,6,8,6,2,8,8,8,6,5,8,1,6,4,5,Business Manager
3.28,4,7,4,3,6,5,9,6,6,3,2,2,9,3,Graphic Designer
4.85,9,7,8,2,10,5,5,8,3,2,9,4,2,4,Medical Doctor
3.44,7,5,8,5,6,6,7,7,8,4,2,2,5,2,Mechanical Engineer
4.46,8,8,7,3,8,7,7,6,3,2,2,2,6,8,Teacher / Educator
4.87,8,9,6,2,9,9,7,7,4,9,2,4,3,3,Business Manager
3.41,6,7,5,2,9,9,7,8,3,8,2,5,2,3,Business Manager
3.99,8,5,8,5,4,6,7,7,8,2,2,2,5,3,Mechanical Engineer
3.93,7,8,5,3,7,6,8,7,5,2,1,2,7,3,Architect
4.56,8,7,6,8,7,7,5,8,8,3,2,5,2,3,Cybersecurity Analyst
4.5,6,8,8,3,9,7,6,6,5,3,3,3,4,9,Teacher / Educator
4.9,8,6,7,4,7,4,9,8,5,3,1,1,8,5,Architect
3.61,9,5,7,4,7,4,8,8,8,3,2,2,3,2,Mechanical Engineer
3.97,5,8,5,2,9,9,9,8,3,8,2,4,4,2,Business Manager
3.82,7,7,8,6,4,7,9,8,9,3,1,1,6,1,Mechanical Engineer
3.51,8,6,9,7,6,4,5,8,8,3,2,5,2,1,Cybersecurity Analyst
4.26,8,7,8,2,8,8,5,10,3,3,8,2,2,5,Medical Doctor
3.79,7,5,6,3,7,4,8,7,5,5,2,2,9,3,Architect
4.43,5,9,5,1,8,8,5,7,2,7,3,7,4,4,Public Administrator
3.47,7,8,6,1,9,7,7,7,2,4,3,3,7,9,Teacher / Educator
3.24,5,8,6,3,8,9,5,8,2,6,2,9,6,5,Lawyer
4.87,9,9,7,4,7,5,5,7,4,8,2,4,1,3,Accountant
4.13,8,7,7,8,6,4,8,8,8,4,3,3,3,3,Data Scientist
3.91,9,6,7,7,6,5,6,8,8,4,4,1,3,4,Data Scientist
4.71,7,6,5,2,6,6,9,8,5,2,2,2,8,2,Architect
4.92,7,8,5,3,8,8,7,6,5,8,2,5,5,5,Entrepreneur
3.32,5,9,4,4,8,8,6,8,1,6,1,9,3,5,Lawyer
4.08,8,6,8,7,4,4,7,9,8,3,3,1,2,3,Data Scientist
3.9,8,8,8,8,6,4,8,8,8,5,3,2,3,4,Data Scientist
4.46,9,6,6,4,6,7,4,7,4,8,2,4,3,4,Accountant
2.6,4,7,7,5,6,4,9,6,6,5,1,1,9,2,Graphic Designer
4.39,8,7,6,5,7,8,7,8,4,9,2,7,2,3,Accountant
3.56,9,6,7,7,5,3,7,9,9,3,2,1,2,4,Data Scientist
4.23,5,10,6,2,9,7,5,6,2,6,2,8,4,7,Public Administrator
4.16,8,6,7,8,7,6,6,9,8,4,3,1,2,3,Data Scientist
3.85,8,9,5,1,9,8,8,9,2,5,4,9,4,4,Lawyer
4.43,5,7,5,2,7,8,4,7,1,8,3,7,2,4,Public Administrator
3.82,7,7,8,3,8,8,9,7,4,9,1,5,6,4,Entrepreneur
4.76,7,9,5,5,9,8,9,7,4,9,3,5,4,4,Entrepreneur
4.8,7,6,6,3,6,6,8,6,4,6,2,2,7,3,Architect
3.94,9,6,7,5,7,6,7,8,9,3,2,1,3,2,Mechanical Engineer
3.22,7,7,8,4,8,5,8,6,5,5,3,1,9,3,Architect
3.89,9,8,8,7,6,4,6,9,8,6,2,1,2,2,Data Scientist
4.22,8,6,7,7,5,6,7,9,8,5,2,3,3,2,Software Engineer
4.33,8,7,5,3,6,7,4,7,4,8,1,6,2,4,Accountant
3.18,8,6,8,6,7,4,7,8,8,3,2,2,4,1,Mechanical Engineer
4.86,7,5,7,9,5,4,6,8,7,3,2,2,4,4,Software Engineer
4.24,7,8,8,8,5,6,9,8,8,3,3,1,3,1,Software Engineer
3.72,8,8,8,2,7,5,4,9,3,5,8,1,2,4,Pharmacist
3.04,8,5,7,7,5,7,4,9,8,3,3,5,2,3,Cybersecurity Analyst
3.4,3,6,5,3,6,5,9,5,6,3,1,2,9,1,Graphic Designer
3.54,5,9,7,2,7,9,8,6,7,8,1,4,3,4,Entrepreneur
3.42,8,6,9,5,6,6,7,9,7,4,3,1,4,3,Mechanical Engineer
3.62,4,6,5,3,6,4,8,6,6,4,2,1,9,2,Graphic Designer
4.99,8,5,8,8,4,6,8,8,9,4,3,1,4,3,Data Scientist
4.31,8,6,5,3,6,6,5,8,4,8,2,5,2,4,Accountant
3.38,8,6,9,7,7,6,6,7,8,3,1,6,1,2,Cybersecurity Analyst
3.26,8,7,5,3,6,7,6,8,5,9,3,5,3,3,Accountant
3.08,8,6,6,3,6,7,3,8,2,9,1,6,1,2,Accountant
3.57,3,8,4,4,7,5,9,7,5,5,1,1,8,2,Graphic Designer
4.32,8,6,5,3,8,9,7,8,3,10,1,5,5,4,Entrepreneur
4.98,7,5,7,3,6,6,8,6,5,4,2,1,10,3,Architect
4.31,8,7,6,8,7,5,5,8,7,3,2,3,2,3,Cybersecurity Analyst
4.69,8,8,5,2,9,8,7,7,1,4,1,8,4,4,Lawyer
3.6,8,8,9,1,8,7,7,6,3,3,4,3,5,8,Teacher / Educator
3.34,5,8,6,2,9,7,9,6,4,4,3,3,8,6,Journalist / Media
3.17,5,7,3,3,7,7,7,6,3,7,3,6,2,4,Public Administrator
4.32,6,8,6,3,8,7,7,6,4,3,3,3,5,9,Teacher / Educator
4.86,4,9,8,2,8,10,5,8,2,7,2,8,4,4,Lawyer
3.0,7,7,4,2,8,7,5,8,1,7,3,9,4,6,Public Administrator
4.16,4,10,4,4,8,6,9,6,3,4,4,6,9,7,Journalist / Media
4.69,7,7,8,2,6,5,5,8,3,2,8,2,2,5,Medical Doctor
3.97,7,7,7,5,4,6,7,9,8,2,2,2,4,2,Mechanical Engineer
4.79,5,8,5,3,8,9,8,8,1,4,1,8,6,5,Lawyer
3.7,6,8,5,2,8,7,7,5,3,4,3,3,6,8,Teacher / Educator
4.14,7,7,7,8,6,5,9,8,7,4,2,2,2,2,Software Engineer
4.18,8,6,7,8,7,6,6,8,8,4,2,1,1,1,Software Engineer
2.71,7,7,5,4,9,8,8,8,6,9,2,5,5,2,Entrepreneur
3.81,7,7,8,3,6,7,5,7,4,5,8,2,3,6,Pharmacist
3.65,4,8,4,4,9,6,8,8,5,4,1,4,9,6,Journalist / Media
4.0,9,7,8,1,7,5,6,7,3,2,8,1,3,5,Medical Doctor
4.51,8,6,9,4,7,6,6,10,8,3,3,3,4,2,Mechanical Engineer
3.96,4,9,6,3,9,5,9,6,2,4,1,4,7,3,Journalist / Media
3.72,6,7,7,4,8,8,8,8,6,8,1,3,4,3,Entrepreneur
4.64,8,7,8,2,8,6,7,9,2,2,8,2,2,6,Medical Doctor
4.34,6,8,4,3,8,8,5,8,2,6,1,9,4,3,Lawyer
4.85,7,8,8,1,9,8,5,8,2,3,9,3,3,5,Medical Doctor
4.39,8,5,8,6,6,6,5,8,8,3,1,3,2,1,Cybersecurity Analyst
3.59,5,7,4,3,7,7,7,7,2,9,3,7,3,4,Public Administrator
3.3,7,8,7,9,6,7,6,8,8,4,3,1,2,4,Software Engineer
3.8,5,9,5,1,8,9,7,9,2,4,4,9,5,4,Lawyer
2.98,5,8,6,1,7,7,7,8,3,7,3,9,4,6,Public Administrator
2.62,3,7,4,4,7,3,9,5,5,3,2,2,9,3,Graphic Designer
4.94,6,9,5,2,8,7,7,10,1,6,1,9,6,4,Lawyer
4.17,8,5,5,3,6,6,6,9,3,9,2,5,3,3,Accountant
3.52,7,6,8,6,6,7,6,9,8,4,1,2,3,2,Mechanical Engineer
3.95,5,7,6,3,5,4,8,7,7,3,1,1,9,2,Graphic Designer
4.38,7,7,9,2,7,8,4,8,3,3,8,2,1,4,Medical Doctor
4.39,6,5,9,3,5,7,9,6,5,4,2,1,9,3,Architect
4.38,9,7,9,9,6,4,7,8,10,5,3,2,1,2,Data Scientist
5.0,7,6,9,5,6,6,6,9,8,3,4,2,4,2,Mechanical Engineer
3.44,9,7,8,9,6,7,6,9,7,4,3,2,4,3,Data Scientist
3.86,7,7,6,3,7,5,8,6,5,3,2,2,8,3,Architect
4.86,7,7,8,1,8,6,6,10,2,5,10,2,2,3,Pharmacist
3.11,6,7,4,3,5,4,9,4,6,3,2,2,8,2,Graphic Designer
3.79,9,7,6,3,7,8,5,8,3,9,2,4,2,2,Accountant
4.75,6,7,7,7,6,5,5,8,7,2,3,3,2,2,Cybersecurity Analyst
4.27,9,8,8,6,7,3,7,8,8,5,3,2,3,3,Data Scientist
2.95,8,9,5,6,9,9,10,8,3,9,1,5,5,3,Entrepreneur
3.1,9,6,6,3,8,5,4,9,4,9,1,4,2,4,Accountant
3.6,9,7,8,6,4,6,4,9,7,3,1,4,1,1,Cybersecurity Analyst
3.89,7,7,10,1,6,6,4,8,2,5,9,3,3,3,Pharmacist
3.89,7,6,9,2,7,7,4,7,3,4,8,3,3,5,Medical Doctor
4.62,7,7,6,3,7,10,7,6,4,9,2,5,4,4,Business Manager
3.78,9,8,8,7,5,4,7,8,7,3,4,2,2,3,Data Scientist
3.37,4,5,6,4,6,5,9,6,6,3,2,2,8,2,Graphic Designer
4.24,6,8,5,4,8,8,8,6,3,8,1,5,3,4,Business Manager
3.9,7,5,8,5,7,6,6,7,7,2,1,1,3,2,Mechanical Engineer
3.96,8,7,8,5,6,4,6,8,7,4,3,2,3,3,Mechanical Engineer
3.93,9,7,7,9,5,3,6,8,8,4,2,2,2,2,Data Scientist
4.08,9,8,8,7,5,4,6,9,8,5,3,2,3,3,Data Scientist
3.09,6,8,4,2,9,9,8,7,4,9,3,3,2,5,Business Manager
4.13,7,10,6,2,9,7,7,7,4,4,4,2,6,9,Teacher / Educator
3.83,9,6,7,8,5,6,7,7,9,5,2,1,3,3,Software Engineer
4.03,7,8,6,3,9,6,7,6,2,4,3,2,5,9,Teacher / Educator
4.35,8,8,6,6,9,8,7,7,6,9,1,5,6,4,Entrepreneur
4.58,4,8,6,2,8,8,8,8,2,5,2,9,4,4,Lawyer
3.75,8,6,9,2,6,6,6,9,3,7,8,2,1,5,Pharmacist
3.25,7,6,8,8,6,4,6,8,9,3,2,2,4,1,Software Engineer
4.11,5,8,6,1,8,8,7,9,2,5,1,8,5,3,Lawyer
3.1,7,7,6,8,5,4,5,9,8,4,1,5,3,3,Cybersecurity Analyst
3.63,6,7,5,2,8,9,5,6,3,7,3,10,3,5,Public Administrator
3.23,5,7,5,5,6,3,8,5,6,4,1,2,8,1,Graphic Designer
4.52,5,9,6,4,8,9,8,6,4,8,1,3,6,4,Entrepreneur
4.93,9,8,9,2,7,6,7,7,4,3,9,1,2,4,Medical Doctor
3.43,8,5,6,2,5,6,5,8,2,8,2,5,2,4,Accountant
3.25,7,7,7,3,9,8,6,5,3,4,5,3,5,8,Teacher / Educator
3.64,8,7,8,2,8,4,6,8,4,6,9,2,3,5,Pharmacist
4.45,4,8,7,2,9,8,7,8,1,4,3,9,4,4,Lawyer
3.49,4,9,5,1,7,8,6,6,1,8,3,7,4,4,Public Administrator
4.7,7,7,7,7,8,5,5,8,9,3,2,6,3,2,Cybersecurity Analyst
4.38,9,7,8,8,6,4,5,8,10,4,2,2,3,4,Data Scientist
3.78,4,8,6,3,9,9,9,7,5,4,3,3,9,5,Journalist / Media
3.64,7,6,9,7,6,4,9,8,8,4,2,1,2,2,Software Engineer
4.51,5,8,8,1,8,8,7,9,3,6,1,8,5,7,Lawyer
3.99,8,8,5,4,9,9,9,8,6,9,2,3,5,3,Entrepreneur
3.54,6,5,7,6,6,4,5,8,8,3,4,5,3,1,Cybersecurity Analyst
3.87,5,7,4,3,9,8,7,6,3,9,2,4,5,3,Business Manager
3.99,9,6,6,3,8,7,4,7,4,8,2,4,3,3,Accountant
3.41,7,8,7,2,6,5,8,7,6,3,2,2,8,4,Architect
4.81,7,7,9,1,8,5,5,7,4,4,9,3,2,3,Pharmacist
4.83,8,6,7,8,5,6,7,7,9,4,3,2,2,2,Software Engineer
3.81,3,6,5,5,8,5,8,4,5,5,1,2,9,1,Graphic Designer
4.33,5,8,5,3,8,7,5,9,1,7,5,7,5,5,Public Administrator
3.02,5,9,6,4,7,6,8,6,4,4,1,2,8,3,Graphic Designer
4.97,8,7,7,2,5,6,3,8,4,8,1,5,3,2,Accountant
4.12,8,7,8,6,5,6,6,10,9,3,1,2,3,2,Mechanical Engineer
4.71,8,7,8,4,8,5,9,8,7,4,2,2,7,2,Architect
4.4,7,7,7,9,5,7,6,7,9,3,1,2,2,3,Software Engineer
3.14,7,5,8,9,6,4,5,8,8,4,1,5,2,3,Cybersecurity Analyst
4.24,8,7,8,2,7,7,5,8,2,3,8,1,2,5,Medical Doctor
4.34,6,9,3,3,9,8,5,7,3,7,3,8,5,5,Public Administrator
4.29,6,9,6,2,8,6,6,6,3,4,2,1,6,8,Teacher / Educator
3.88,4,8,5,4,9,5,8,7,4,2,2,2,8,4,Journalist / Media
4.02,7,5,5,4,7,6,9,4,6,2,1,1,9,2,Graphic Designer
3.85,6,5,8,8,5,4,7,7,8,4,3,5,2,2,Cybersecurity Analyst
4.19,8,7,9,2,7,6,5,7,2,6,8,2,1,3,Pharmacist
4.8,7,7,5,3,7,7,8,6,5,5,1,1,9,3,Architect
4.14,8,6,9,3,8,4,7,8,8,5,1,2,4,2,Mechanical Engineer
3.58,4,9,4,3,8,7,8,7,3,3,2,3,7,4,Journalist / Media
4.56,8,7,7,8,4,4,6,7,9,2,2,2,4,1,Software Engineer
3.83,9,8,7,7,5,5,6,9,8,4,3,2,2,3,Data Scientist
4.11,7,6,8,2,7,7,4,8,2,5,8,2,2,4,Pharmacist
4.89,6,7,8,2,6,5,6,8,3,2,9,3,2,4,Medical Doctor
4.53,7,6,6,3,8,4,8,8,7,3,3,2,8,2,Architect
3.09,6,8,4,1,8,9,6,7,1,8,3,8,3,5,Public Administrator
3.72,7,8,7,6,5,6,6,7,8,6,1,5,1,3,Cybersecurity Analyst
4.17,8,6,8,8,6,5,7,9,8,4,4,2,2,2,Data Scientist
4.66,7,7,7,2,6,5,8,6,5,3,1,2,8,3,Architect
3.08,6,8,8,7,5,6,5,8,9,3,2,5,2,2,Cybersecurity Analyst
3.66,7,8,9,2,8,6,5,9,2,6,8,2,1,5,Pharmacist
2.81,3,9,3,5,9,7,8,7,2,4,2,3,7,3,Journalist / Media
3.52,7,8,7,2,9,6,6,6,4,2,3,1,5,9,Teacher / Educator
4.49,8,8,6,1,8,7,7,5,3,4,4,1,6,8,Teacher / Educator
3.35,7,7,8,1,9,8,7,7,3,2,4,3,5,8,Teacher / Educator
3.38,8,7,7,3,5,4,8,9,5,4,2,1,8,3,Architect
4.13,8,8,4,3,9,8,8,8,5,8,1,4,5,2,Business Manager
3.87,6,9,4,2,8,8,5,6,3,6,3,8,2,5,Public Administrator
3.32,8,8,6,9,7,4,6,8,7,3,1,2,3,4,Software Engineer
4.66,6,7,4,3,8,8,8,7,5,8,1,4,4,4,Entrepreneur
3.33,8,7,7,7,4,5,6,8,8,4,2,4,3,2,Cybersecurity Analyst
3.94,5,9,4,5,8,7,8,7,3,2,2,3,9,3,Journalist / Media
3.47,9,9,6,6,7,6,5,8,7,4,2,5,1,2,Cybersecurity Analyst
3.25,7,8,7,8,6,4,7,9,8,5,1,2,2,1,Software Engineer
3.21,7,7,6,4,9,9,7,6,4,9,2,6,2,2,Business Manager
4.19,7,6,8,8,5,7,9,9,8,3,1,2,1,3,Software Engineer
3.86,4,9,6,2,9,9,7,7,1,6,3,8,4,5,Public Administrator
3.86,7,8,4,5,7,4,9,4,4,2,2,2,8,3,Graphic Designer
4.48,5,6,6,3,8,8,7,6,4,8,1,4,3,3,Business Manager
3.6,5,8,7,3,10,7,7,5,3,3,2,1,6,8,Teacher / Educator
4.27,6,8,5,4,7,9,7,6,2,8,1,5,5,4,Business Manager
4.94,7,6,8,1,7,5,5,7,2,4,8,2,3,3,Pharmacist
3.83,7,7,5,2,9,6,7,6,2,4,2,2,7,8,Teacher / Educator
3.32,8,5,8,3,7,5,9,8,4,3,2,3,7,5,Architect
4.03,8,8,9,2,6,8,5,9,3,4,9,2,2,4,Medical Doctor
4.88,8,6,8,7,6,5,7,8,7,3,2,1,3,3,Software Engineer
3.54,4,9,5,4,8,6,9,7,3,4,1,4,8,3,Journalist / Media
3.58,8,7,6,2,6,7,3,9,3,8,2,5,2,3,Accountant
3.7,8,8,4,2,9,9,5,7,1,7,4,8,3,6,Public Administrator
4.88,6,8,5,1,8,8,6,7,4,4,3,8,5,4,Lawyer
3.98,9,6,9,3,10,6,6,8,3,3,9,1,3,5,Medical Doctor
3.94,8,6,8,8,6,5,8,8,8,3,2,1,3,2,Software Engineer
3.69,5,9,4,1,9,7,6,7,2,7,3,8,4,7,Public Administrator
4.4,6,8,4,4,8,9,8,7,3,6,3,8,6,4,Lawyer
3.53,5,9,5,4,9,8,6,9,5,8,2,4,4,3,Business Manager
4.15,5,9,3,2,8,8,6,6,1,7,2,8,5,5,Public Administrator
3.61,4,7,4,2,8,9,6,5,2,7,3,6,5,6,Public Administrator
3.81,5,9,5,3,9,6,9,5,3,4,3,4,8,5,Journalist / Media
3.86,8,8,7,4,8,8,8,7,7,8,1,6,4,4,Entrepreneur
4.66,7,5,10,8,6,6,5,8,8,3,3,4,1,2,Cybersecurity Analyst
3.13,5,6,5,3,7,3,9,6,4,4,2,1,8,2,Graphic Designer
2.61,4,7,4,4,7,5,8,5,6,3,1,1,9,3,Graphic Designer
3.6,6,6,6,1,8,8,7,6,3,9,1,4,2,4,Business Manager
4.2,4,9,6,2,8,8,6,6,1,7,3,8,4,5,Public Administrator
4.23,5,5,5,5,6,6,9,4,5,6,1,1,8,1,Graphic Designer
3.95,8,7,8,5,6,6,6,8,9,4,2,1,4,2,Mechanical Engineer
3.59,6,7,5,1,7,7,6,7,3,7,4,8,4,7,Public Administrator
4.3,9,8,6,8,6,4,5,8,9,4,1,6,2,2,Cybersecurity Analyst
3.11,7,8,8,3,9,7,7,7,3,2,2,3,4,8,Teacher / Educator
4.18,7,5,7,8,6,6,7,8,8,4,3,5,1,2,Cybersecurity Analyst
3.53,8,8,8,3,9,8,7,6,2,3,4,3,6,8,Teacher / Educator
3.71,9,7,6,4,9,7,7,8,2,3,3,2,6,9,Teacher / Educator
3.98,6,8,5,1,7,8,5,6,3,6,2,6,2,8,Public Administrator
4.84,8,6,7,8,8,3,7,9,8,5,2,2,2,4,Data Scientist
4.5,7,7,8,2,6,7,4,7,2,3,8,3,3,3,Medical Doctor
3.62,5,9,5,3,9,7,7,7,2,3,2,2,6,9,Teacher / Educator
4.0,8,8,9,9,5,3,7,8,8,4,3,1,2,3,Data Scientist
4.77,8,7,7,3,7,6,4,7,3,9,2,5,1,3,Accountant
3.84,8,6,6,3,6,5,7,9,2,9,2,5,2,3,Accountant
3.43,3,7,5,3,6,4,9,5,5,2,2,1,9,2,Graphic Designer
4.48,9,6,8,6,7,6,8,8,7,3,3,2,6,2,Mechanical Engineer
2.51,5,7,5,5,8,4,8,5,6,4,2,2,8,2,Graphic Designer
4.32,8,7,9,9,7,5,7,8,8,4,5,1,2,3,Data Scientist
3.26,7,8,7,9,6,6,7,8,8,3,2,1,3,2,Software Engineer
3.56,8,7,9,6,7,6,5,7,8,4,2,6,1,2,Cybersecurity Analyst
4.02,9,7,7,5,7,6,5,8,4,8,2,5,3,3,Accountant
3.85,5,8,5,3,9,8,6,7,1,7,4,7,4,5,Public Administrator
4.31,8,7,9,2,9,7,4,7,3,3,8,3,1,5,Medical Doctor
3.56,6,5,7,3,7,7,8,7,6,6,1,1,8,2,Architect
4.14,4,7,4,5,8,5,9,5,6,2,1,2,9,3,Graphic Designer
3.01,6,8,4,4,8,7,8,6,4,3,3,2,7,3,Journalist / Media
3.36,8,7,9,9,6,5,7,7,8,3,2,1,2,2,Software Engineer
4.21,5,7,4,3,7,6,8,6,7,3,1,2,8,2,Graphic Designer
3.41,7,7,6,8,8,4,6,8,8,4,3,2,2,5,Software Engineer
3.59,8,5,6,3,6,7,6,9,4,8,2,5,2,3,Accountant
4.94,7,7,8,4,7,7,9,8,6,2,3,2,8,3,Architect
3.93,9,7,8,1,8,9,6,8,3,3,8,3,2,5,Medical Doctor
4.11,6,6,8,2,7,6,6,8,3,5,8,3,2,4,Pharmacist
3.72,5,8,4,4,6,5,9,5,7,4,1,1,9,3,Graphic Designer
3.14,8,6,8,5,5,7,7,7,8,3,2,3,4,2,Mechanical Engineer
3.44,7,6,5,4,6,6,9,7,7,2,2,1,7,2,Architect
3.93,6,9,7,2,9,7,6,6,5,3,3,2,5,8,Teacher / Educator
4.3,7,8,6,2,8,8,7,7,4,4,3,2,7,8,Teacher / Educator
4.31,8,7,8,1,8,6,7,8,3,4,9,2,3,4,Medical Doctor
3.2,6,6,7,4,8,5,8,9,5,4,1,2,7,2,Architect
3.58,6,6,9,2,7,4,5,7,4,4,9,3,1,3,Pharmacist
3.78,9,8,5,4,6,6,5,9,2,9,1,4,2,3,Accountant
4.84,8,7,9,7,6,4,7,7,7,3,1,5,2,2,Cybersecurity Analyst
2.96,7,9,4,2,8,7,8,8,4,5,2,3,8,3,Journalist / Media
3.48,7,8,7,2,8,5,9,7,5,3,2,1,9,2,Architect
3.46,8,8,5,3,8,9,8,9,4,8,2,3,4,4,Entrepreneur
4.04,8,8,8,4,5,6,7,8,8,3,2,1,3,4,Mechanical Engineer
3.15,5,10,5,3,8,7,8,7,4,4,2,5,8,4,Journalist / Media
3.79,6,8,7,3,8,9,8,6,5,9,2,3,2,5,Business Manager
3.87,6,6,7,8,4,6,8,7,8,3,2,5,2,2,Cybersecurity Analyst
3.94,8,7,6,7,6,6,6,7,8,4,3,4,4,1,Cybersecurity Analyst
3.25,6,8,6,3,8,7,7,7,4,3,2,1,6,9,Teacher / Educator
